fecha;cotizacion
2019-04-23;6259.13
2019-05-23;6296.55
2019-07-23;5985.38
2019-08-23;6216.25
2019-09-23;6390.39
2019-10-23;6482.22
2019-12-23;6443.59
2019-01-24;6042.1
2019-04-24;6266.36
2019-05-24;6285.42
2019-06-24;6202.03
2019-07-24;6014.93
2019-09-24;6369.47
2019-10-24;6482.86
2019-12-24;6471.22
2019-01-25;6051.15
2019-02-25;6088.13
2019-03-25;6178.64
2019-04-25;6261.36
2019-06-25;6212.72
2019-07-25;6018.4
2019-09-25;6395.56
2019-10-25;6488.72
2019-11-25;6449.52
2019-02-26;6087.83
2019-03-26;6161.87
2019-04-26;6268.52
2019-06-26;6217.27
2019-07-26;6003.18
2019-08-26;6238.62
2019-09-26;6391.51
2019-11-26;6465.09
2019-12-26;6485.55
2019-02-27;6105.01
2019-03-27;6176.24
2019-05-27;6267.21
2019-06-27;6195.29
2019-08-27;6243.83
2019-09-27;6387.09
2019-11-27;6473.53
2019-12-27;6473.48
2019-01-28;6063.85
2019-02-28;6091.78
2019-03-28;6191.15
2019-05-28;6264.62
2019-06-28;6190.45
2019-08-28;6283.28
2019-10-28;6474.06
2019-11-28;6456.11
2019-01-29;6091.93
2019-03-29;6181.37
2019-04-29;6291.57
2019-05-29;6309.09
2019-07-29;6023.28
2019-08-29;6306.97
2019-10-29;6454.09
2019-11-29;6455.06
2019-01-30;6084.58
2019-04-30;6286.93
2019-05-30;6309.35
2019-07-30;6017.74
2019-08-30;6251.91
2019-09-30;6380.13
2019-10-30;6453.29
2019-12-30;6453.14
2019-01-31;6049.72
2019-05-31;6273.7
2019-07-31;5999.18
2019-10-31;6446.26
2020-04-01;6555.88
2020-06-01;6656.91
2020-07-01;6812.59
2020-09-01;6979
2020-10-01;6997.56
2020-12-01;7039.67
2020-01-02;6479.78
2020-03-02;6520.83
2020-04-02;6554.83
2020-06-02;6657.25
2020-07-02;6814.18
2020-09-02;6991.11
2020-10-02;6996.4
2020-11-02;7026.6
2020-12-02;7032.9
2020-01-03;6484.96
2020-02-03;6507.77
2020-03-03;6510.31
2020-04-03;6540.38
2020-06-03;6656.23
2020-07-03;6816.21
2020-08-03;6934.99
2020-09-03;7003.14
2020-11-03;7026.41
2020-12-03;7027.97
2020-02-04;6481.97
2020-03-04;6519.65
2020-05-04;6524.27
2020-06-04;6659.75
2020-08-04;6939.68
2020-09-04;6998.67
2020-11-04;7028.6
2020-12-04;7028.71
2020-02-05;6489.98
2020-03-05;6535.29
2020-05-05;6517.9
2020-06-05;6664.31
2020-08-05;6933.28
2020-10-05;7004.93
2020-11-05;7032.85
2020-01-06;6505.19
2020-02-06;6515.61
2020-03-06;6536.39
2020-04-06;6488.18
2020-05-06;6544.95
2020-07-06;6838.32
2020-08-06;6930.6
2020-10-06;7005.79
2020-11-06;7035.33
2020-01-07;6515.51
2020-02-07;6508.32
2020-04-07;6485.54
2020-05-07;6562.69
2020-07-07;6835.96
2020-08-07;6929.07
2020-09-07;6984.82
2020-10-07;7013.88
2020-12-07;7032.79
2020-01-08;6513.81
2020-05-08;6557.14
2020-06-08;6654.78
2020-07-08;6831.43
2020-09-08;6988.48
2020-10-08;7011.75
2020-01-09;6504.94
2020-03-09;6590.36
2020-06-09;6655.6
2020-07-09;6851.09
2020-09-09;6991.94
2020-10-09;7007.7
2020-11-09;7026.76
2020-12-09;7037.24
2020-01-10;6501.42
2020-02-10;6531.96
2020-03-10;6578.9
2020-06-10;6672.82
2020-07-10;6872.53
2020-08-10;6935.16
2020-09-10;6986.56
2020-11-10;7026.73
2020-12-10;7038.31
2020-02-11;6533.5
2020-03-11;6581.04
2020-05-11;6562.36
2020-06-11;6678.77
2020-08-11;6939.86
2020-09-11;6974.33
2020-11-11;7034.94
2020-12-11;7028.9
2020-02-12;6527.8
2020-03-12;6584.89
2020-05-12;6558.28
2020-08-12;6949.04
2020-10-12;7009.25
2020-11-12;7034.75
2020-01-13;6505.35
2020-02-13;6531.23
2020-03-13;6565.76
2020-04-13;6483.94
2020-05-13;6565.15
2020-07-13;6896.34
2020-08-13;6953.55
2020-10-13;7018.5
2020-11-13;7030.5
2020-01-14;6515.39
2020-02-14;6519.86
2020-04-14;6480.53
2020-07-14;6917.48
2020-08-14;6945.94
2020-09-14;6976.3
2020-10-14;7024.61
2020-12-14;7009.08
2020-01-15;6521.54
2020-04-15;6495.22
2020-06-15;6699.7
2020-07-15;6919.03
2020-09-15;6982.54
2020-10-15;7033.16
2020-12-15;6990.82
2020-01-16;6518.61
2020-03-16;6573.97
2020-04-16;6489.6
2020-06-16;6709.93
2020-07-16;6908.74
2020-09-16;6989.26
2020-10-16;7027.43
2020-11-16;7030.48
2020-12-16;6982.19
2020-01-17;6524.22
2020-02-17;6516.15
2020-03-17;6588.52
2020-04-17;6481.46
2020-06-17;6713.64
2020-07-17;6926.53
2020-08-17;6942.71
2020-09-17;6986.6
2020-11-17;7037.14
2020-12-17;6980.08
2020-02-18;6527.31
2020-03-18;6600.07
2020-05-18;6587.89
2020-06-18;6725.24
2020-08-18;6946.55
2020-09-18;6984.94
2020-11-18;7043.24
2020-12-18;6954.27
2020-02-19;6533.73
2020-03-19;6644.02
2020-05-19;6588.49
2020-06-19;6736.32
2020-08-19;6964.42
2020-10-19;7035.16
2020-11-19;7040.85
2020-01-20;6526.47
2020-02-20;6539.99
2020-03-20;6645.64
2020-04-20;6483.08
2020-05-20;6604.64
2020-07-20;6946.44
2020-08-20;6965.82
2020-10-20;7032.99
